GLOBAL_ID,advertisement_id
4175,f8fee23f-c9bf-4c51-a51f-b93086e03390
4234,528efdba-0fda-48ec-bdcf-7a2ac99f59c5
4247,ad21d41a-f3bc-4b80-83f0-c32f4c6f16cd
4249,Opt-out
4293,2933d5de-d91f-4175-bd8b-d215ba745c1b
4306,Opt-out
4347,Opt-out
4379,3af22a59-4001-4486-ba0a-d87ba4438077
4392,2d6ba3f3-831e-40b5-8202-0fdd6887b01e
4450,971f30d1-9955-499e-b08d-c2ecc68f1ae0
4452,23457284-ca5c-451f-b4f5-5f09fa76ce47
4454,40e97cbb-f569-4e78-8e7e-7d2f8c77d32a
4455,d382e501-8cd8-47dd-8c4a-8952cda3735e
4478,14554341-1d82-4304-836f-5350b6160bb8
4495,b6d097c8-cdfe-4cd0-813d-0c28ee1dcbf1
4543,Opt-out
4546,23F64C22-0A0C-447C-9997-01B3B32BCE8D
4567,14abe2e5-c556-4e6f-bd8f-5212a85cb90f
4572,Opt-out
4604,a9d2a9f8-631b-4a12-aee6-24e0c16b8bde
4613,8dcdd807-d1b5-477b-a2f0-4d14127b63f2
4664,1294e291-5e81-4df5-a416-1f73d01c6cbe
4666,Opt-out
4677,Opt-out
4696,086C20FC-E468-43E5-8769-DBAEABFC9C09
4756,Opt-out
4766,fcfe9eca-ee10-4432-9d88-fa76012e7095
4776,Opt-out
4792,Opt-out
4825,Opt-out
4826,683df05c-59d8-4e3d-b85f-305aa0f30fe3
4857,345e5acb-e2a2-448c-8b58-cefe6ab9128c
4865,2e99f52d-08cf-49e0-bdbb-5add5b2117a2
4912,b9c79b4f-c471-48b1-ab26-86eff7f90e79
4919,Opt-out
4956,Opt-out
4959,Opt-out
4993,Opt-out
5015,Opt-out
5093,F16933E5-F14E-47B7-B4DA-AC57A2605B08
5097,6c72e97b-df93-4cbd-b647-8a4cd920472f
5105,1860f212-43d6-4b6f-85af-a15ea2ad8ff5
5181,Opt-out
5186,c9a6433c-9d2f-4ddf-bd9b-c279e0ddbfe6
5195,6aa29d5c-2424-4891-aca9-0e6af2382104
5199,081C7AA0-B2F0-45F6-9F99-63F236A3BA7C
5242,e3c9a6bc-80da-465f-87e7-49076b3e3881
5282,82efdf98-db51-425a-91e1-e5ab7c37dd76
5288,d26fe227-5287-4445-b2cf-2f7c5e34b451
5313,Opt-out
5322,69fda1b8-d2c0-44dd-a520-37765896415f
5376,cfee4a0b-5c55-49ff-97cc-00cd526e5460
5459,8986aec0-a88d-4276-8a53-3a22f39b101a
5527,2A7154DB-BEC7-4C00-B765-64EB7DFCC936
5558,a67a0158-b2e8-49df-9204-01a64248b6a4
5581,71079cda-ca30-441d-91a0-c81a60d9aaad
5625,0ac822be-6a36-4cbd-bd23-a3b1b850c92d
5719,Opt-out
5870,Opt-out
5891,17cc494c-2d28-4527-bf75-285f618588b4
5966,b8700aed-52ae-4842-964c-83e61aba6812
5970,82882d2f-6fab-43f9-9682-1052f18248d4
6233,0f6a808f-360d-4a29-ad6d-307500e95540
6296,3ac87a1a-603c-4c80-9ec3-59dd397cb28e
6317,6934bd88-60cd-4cbf-ad03-a6d78df49a82
6361,bfc63fc4-b966-41b3-9c8c-d15a31cbcc4e
6502,85c6f1e0-5549-4e88-938f-53e47168ec15
6601,b8f43e2c-66a0-49f5-a118-4f65a425d9ae
6705,Opt-out
6741,3397dcf7-72e9-496e-b238-1c2a02d8710c
6756,b1e81a82-1187-433f-a13e-01cba20932f2
6784,e9a39a04-daf4-473e-955d-a3d810ae9b48
6866,47fc6ac6-105a-4418-aa62-244914a3620f
6920,95b16b34-4eb1-43da-953b-13b503fb7c18
7078,31f6d694-0068-40e2-a791-4697e2616db5
7188,a57adec7-2cf3-4b89-8b10-98b87c09a84d
7295,7a4cf462-aa18-4125-ac0a-46b69bceba9e
7328,2c54a0dd-fe6b-4ec4-a08a-3fa66f0c779c
7393,5b32c1d7-e1f6-454d-bec1-bb8495ab04e6
7394,87773ac9-2556-4076-bf18-307acc5af5c2
7453,f9565fe5-7b83-41a0-ad1e-ce74fdf23d30
7477,06065585-402c-4c2f-963d-63df294287e1
7565,Opt-out
7579,a1067eaa-2002-4b83-a4a6-984e6c263bb8
7630,b20bbe6d-fef9-4d1a-81a5-c54187205993
7725,d5f9b107-a683-4ad1-90b6-ef6115abac5b
7759,b1e7d13c-9e5e-4d5d-a46f-574435b8787e
7764,23972693-76d1-4710-9f04-d0a84af31515
7798,Opt-out
7901,Opt-out
7933,1fc18c6a-ff6f-49ba-83e4-a7684e47139b
8020,955056a3-1d59-4077-8ac4-2a398a878a94
8075,6a537325-520b-4fcb-9846-7438ddb92233
8086,845c0802-0715-40c4-a380-6cc7283e8b5a
8264,2e260874-d5a7-4c4b-84b3-bd77ab7868eb
8361,9bade866-9d3d-44f8-9423-a314c82c7f54
8446,Opt-out
8503,Opt-out
8512,f5447157-b53f-4307-984d-d3186f40f852
8626,Opt-out
8779,2d19362d-63ef-413b-b160-9e3f9cfc7cd2
8815,af5fc550-51e2-4868-abf1-8a36f9cba230
8838,8f459ebb-8a6e-4266-8214-a7db24eb6102
8872,4e571aec-f087-45d1-a89b-1576f036973c
8947,b2e02e84-f1e3-434b-be58-557c75099c88
9158,a0b916bc-7a71-4bc3-9b77-fbd9f442c369
9178,Opt-out
9222,b11e5450-4e7b-401f-b5ba-a19d92e65fd8
9296,627290d4-1916-40e3-a4ec-3aaf6355161c
9404,54b0f28b-9544-4f7a-b75b-0ae645b38a44
9417,7fee9d37-65ae-429f-97e5-76e4a2036bf2
9451,5ccbfb43-ec95-4e47-a21d-fff2ae5c0c1a
9456,01CCEBA4-EF5D-4FF2-99C1-119D295672E2
9498,a35350de-396e-43b9-a0e8-1246f33479b4
9520,c6811d2a-be25-4dac-8bd5-efd6925c66e3
9566,ac390840-3728-46ea-98b3-58997ee985a2
9570,3dfdfa53-75bf-438c-83a9-2263712344d4
9597,Opt-out
9646,c8cc50e8-ac16-4ada-864a-6131f2542421
9726,bf2df186-0cc9-4d93-8896-78e79ce8998f
9834,706c1f74-e3ea-4d91-91a4-cf39848cccab
9872,Opt-out
9902,23049728-d3c3-4c63-8a1e-6b2ccd6989a7
9998,Opt-out
10030,ad2c6a2c-5132-48af-8942-dfa434d83617
10046,Opt-out
10094,Opt-out
10109,bfe2d171-c99a-4c88-a8cb-802652e885b4
10258,Opt-out
10265,fedad5da-6940-4d8e-9a2a-f595a55d7a55
10331,72eeb15a-d507-42c1-b1ae-c0c610221569
10350,fa897071-73d9-488a-a2bd-8f82d61fca6c
10354,40bfa829-5c0d-4d0b-86c7-65d1defbd263
10355,324aee13-ea49-4816-af13-67866982ef11
10388,e1faebd5-5288-4a98-acb7-0ac6c0384660
10390,7786c1d8-399e-4d80-bfde-f2d8b8bf4d26
10417,8a0d7cb4-07ec-4d95-97f6-3a67336d7b2c
10502,7ee84942-6992-4595-87b0-6d43ee67be78
10507,3fc157f9-dd14-4eb1-a612-47100f2e4c25
10565,41fc107a-0d48-4efe-8173-da0da280c6c0
10576,3036d242-51ff-4b7d-b8c7-05abb8a310df
10600,8c071b0e-1725-456f-84b5-686ea8ec6592
10625,f1b4c390-1f43-4493-8584-41eeb00cc19c
10629,bcc927df-c623-492d-bdb2-822582db2277
10648,4fe7db31-69b1-433b-971d-530e5dff439b
10649,e9ed5eec-933d-4029-bc99-ed6b8481794c
10792,Opt-out
10842,68753681-fe09-4d17-839a-81546b10f167
10883,108da256-d2a0-4861-8019-72756c2ca70b
10965,Opt-out
11086,0f48be47-d3a1-4e8a-8feb-c3f9c20f1aba
11155,da0bccec-359a-465e-b397-0b1ca23ff4eb
11176,9dfca980-733f-46be-8bd9-01d0f727d1e2
11269,36b0ee80-4f49-4f31-86f7-1ebf3a0b4265
11460,Opt-out
11773,6DBF5DD6-6D34-4A78-8746-4290C1698D09
11817,bb92ffd5-f273-4b1f-ada3-779e68887e9e
11864,Opt-out
11909,91e969ad-ded0-4e57-8088-195939b00587
12031,8AB6A667-A5D4-4335-A3C2-B19450916015
12107,8840ad39-8f4c-4c98-8e92-023160b66e06
12123,2d444455-21ec-4fa0-86eb-4e92d276e764
12248,ADE17FCA-1169-49E1-BC96-EC8B42865985
